zip,population,lat,lon,x,y
44301,15509,41.043490000000006,-81.524017,455958.26268017554,4543717.12978828
44302,5297,41.089437,-81.538663,454758.8174042841,4548825.268917583
44303,7683,41.104684999999996,-81.536941,454913.8728561356,4550517.0881747985
44304,5378,41.083177,-81.507852,457342.5305091629,4548114.80247892
44305,22586,41.075303999999996,-81.461652,461218.5243529377,4547219.232561506
44306,21177,41.039347,-81.483166,459389.106988724,4543237.396058529
44307,7464,41.069221,-81.546525,454084.43476373155,4546585.1659697825
44308,936,41.081658000000004,-81.517014,456571.95755069284,4547950.698870699
44310,24838,41.105729,-81.494414,458485.4712501521,4550611.854572143
44311,8864,41.064229,-81.520712,456249.77918771224,4546017.727428652
44313,24479,41.130094,-81.573169,451890.4053300427,4553357.18032779
44314,19234,41.041069,-81.560073,452926.1478929537,4543467.197529524
44320,19459,41.07314,-81.582414,451072.1601228274,4547039.736669412
