Location,xstd,ystd,x,y,lat,lon
A,-4200,3600,451558.57468381,4551035.42148828,41.109160803581794,-81.57693902565975
B,-4000,-2800,451758.57468381,4544635.42148828,41.05152368497196,-81.57405529909197
C,-3700,200,452058.57468381,4547635.42148828,41.07856447972911,-81.5707191704701
D,-1400,500,454358.57468381,4547935.42148828,41.081399146416395,-81.54336225836587
E,-800,-1700,454958.57468381,4545735.42148828,41.061615597154955,-81.5360585531673
F,-400,-4500,455358.57468381,4542935.42148828,41.036415874963524,-81.53109531795444
G,-200,5500,455558.57468381,4552935.42148828,41.12650407940803,-81.52943842567302
H,700,1600,456458.57468381,4549035.42148828,41.09142282892897,-81.51844058249246
I,1400,-1000,457158.57468381,4546435.42148828,41.06803986161088,-81.50992507096859
J,3100,-800,458858.57468381,4546635.42148828,41.06992918150023,-81.48970470918849
K,3200,2700,458958.57468381,4550135.42148828,41.101461451114375,-81.48874799925888
L,5900,-3900,461658.57468381,4543535.42148828,41.04214160990917,-81.4561845113957
